 Name, Price, Deal, URL, Date and Time
Mi Power Bank 3i 20000mAh (Sandstone Black) Triple Output and Dual Input Port | 18W Fast Charging | Power Delivery,1398,FALSE,https://www.amazon.in/dp/B08HV83HL3,10-11-20
Mi Power Bank 3i 20000mAh (Sandstone Black) Triple Output and Dual Input Port | 18W Fast Charging | Power Delivery,1199,FALSE,https://www.amazon.in/dp/B08HV83HL3,24-12-20
Mi Power Bank 3i 20000mAh (Sandstone Black) Triple Output and Dual Input Port | 18W Fast Charging | Power Delivery,1498,FALSE,https://www.amazon.in/dp/B08HV83HL3,08-01-21
Mi Power Bank 3i 20000mAh (Sandstone Black) Triple Output and Dual Input Port | 18W Fast Charging | Power Delivery,1498,FALSE,https://www.amazon.in/dp/B08HV83HL3,08-01-21
Mi Power Bank 3i 20000mAh (Sandstone Black) Triple Output and Dual Input Port | 18W Fast Charging | Power Delivery,1498,FALSE,https://www.amazon.in/dp/B08HV83HL3,08-01-21
"Lenovo ThinkPad E14 Intel Core i5 10th Gen 14-inch Full HD IPS Thin and Light Laptop (8GB RAM/ 1TB HDD + 256GB SSD/ Windows 10 Home/ Microsoft Office Home & Student 2019/ Black/ 1.69 kg), 20RAS1R200",63990,FALSE,https://www.amazon.in/dp/B08N16FQT5,08-01-21
"Lenovo ThinkPad E14 Intel Core i5 10th Gen 14-inch Full HD IPS Thin and Light Laptop (8GB RAM/ 1TB HDD + 256GB SSD/ Windows 10 Home/ Microsoft Office Home & Student 2019/ Black/ 1.69 kg), 20RAS1R200",63990,FALSE,https://www.amazon.in/dp/B08N16FQT5,08-01-21
Dell E2216HV 21.5-inch Full HD LED Backlit Computer Monitor (Black),7100,FALSE,https://www.amazon.in/dp/B013RI9V7O,09-01-21
Dell E2216HV 21.5-inch Full HD LED Backlit Computer Monitor (Black),7100,FALSE,https://www.amazon.in/dp/B013RI9V7O,09-01-21
Dell E2216HV 21.5-inch Full HD LED Backlit Computer Monitor (Black),7100,FALSE,https://www.amazon.in/dp/B013RI9V7O,09-01-21
"Acer Nitro 5 Intel Core i5-9300H 15.6-inch Full HD 1920 x 1080 Display Thin and Light Gaming Laptop (8GB/1TB+256GB SSD/Windows 10 Home/GTX 1650 Graphics/Obsidian Black/2.3 kgs),AN515-54",74999,FALSE,https://www.amazon.in/dp/B0894NY25W,09-01-21
Mi Power Bank 3i 20000mAh (Sandstone Black) Triple Output and Dual Input Port | 18W Fast Charging | Power Delivery,1498,FALSE,https://www.amazon.in/dp/B08HV83HL3,09-01-21
Mi Power Bank 3i 20000mAh (Sandstone Black) Triple Output and Dual Input Port | 18W Fast Charging | Power Delivery,1498,FALSE,https://www.amazon.in/dp/B08HV83HL3,09-01-21
"Acer Nitro 5 Intel Core i5-9300H 15.6-inch Full HD 1920 x 1080 Display Thin and Light Gaming Laptop (8GB/1TB+256GB SSD/Windows 10 Home/GTX 1650 Graphics/Obsidian Black/2.3 kgs),AN515-54",74999,FALSE,https://www.amazon.in/dp/B0894NY25W,09-01-21
"Lenovo Legion Y540 Intel Core i5 9th Gen 15.6 inch FHD Gaming Laptop (8GB/1TB + 256 GB SSD/Windows 10/4GB GTX 1650 Graphics/Black/2.3Kg), 81SY00SNIN",62990,FALSE,https://www.amazon.in/dp/B087D4X9JG,09-01-21
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 4600H 15.6-inch Full HD IPS Gaming Laptop (8GB/512GB SSD/Windows 10/NVIDIA GTX 1650Ti 4GB GDDR6 Graphics/Onyx Black/2.2Kg), 82EY00L4IN",65952,FALSE,https://www.amazon.in/dp/B08PV3DQCW,09-01-21
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 4600H 15.6-inch Full HD IPS Gaming Laptop (8GB/512GB SSD/Windows 10/NVIDIA GTX 1650Ti 4GB GDDR6 Graphics/Onyx Black/2.2Kg), 82EY00L4IN",65952,FALSE,https://www.amazon.in/dp/B08PV3DQCW,09-01-21
Mi Power Bank 3i 20000mAh (Sandstone Black) Triple Output and Dual Input Port | 18W Fast Charging | Power Delivery,1498,FALSE,https://www.amazon.in/dp/B08HV83HL3,09-01-21
"HP Pavilion Gaming DK0271TX 15.6-inch 144 Hz Screen Laptop (Core i5-9300H/8GB/512GB SSD/Windows 10 Home/MS Office/4GB NVIDIA GeForce GTX 1650 Graphics), Shadow Black",67490,TRUE,https://www.amazon.in/dp/B08GD72H1H,09-01-21
Zebronics Zeb-Transformer-M Optical USB Gaming Mouse with LED Effect(Black),479,FALSE,https://www.amazon.in/dp/B0819HZPXL,09-01-21
Mi Power Bank 3i 20000mAh (Sandstone Black) Triple Output and Dual Input Port | 18W Fast Charging | Power Delivery,1498,FALSE,https://www.amazon.in/dp/B08HV83HL3,17-01-21
f Gallery Tshirts for Men|Full Sleeve Cowl Neck Tshirts|Men's Stylish Regular Fit Cotton Tshirt,269.00399.00,FALSE,https://www.amazon.in/dp/B08SKH97K3,17-01-21
Phrill Men's Regular Fit Full Sleeve Cotton T-Shirt,397,FALSE,https://www.amazon.in/dp/B08MC4JMZ2,17-01-21
"Acer Nitro 5 Intel Core i5-9300H 15.6-inch Full HD 1920 x 1080 Display Thin and Light Gaming Laptop (8GB/1TB+256GB SSD/Windows 10 Home/GTX 1650 Graphics/Obsidian Black/2.3 kgs),AN515-54",74999,FALSE,https://www.amazon.in/dp/B0894NY25W,17-01-21
"HP Pavilion Gaming DK0271TX 15.6-inch 144 Hz Screen Laptop (Core i5-9300H/8GB/512GB SSD/Windows 10 Home/MS Office/4GB NVIDIA GeForce GTX 1650 Graphics), Shadow Black",64490,TRUE,https://www.amazon.in/dp/B08GD72H1H,17-01-21
"HP Pavilion Gaming DK0271TX 15.6-inch 144 Hz Screen Laptop (Core i5-9300H/8GB/512GB SSD/Windows 10 Home/MS Office/4GB NVIDIA GeForce GTX 1650 Graphics), Shadow Black",64490,TRUE,https://www.amazon.in/dp/B08GD72H1H,17-01-21
"HP Pavilion Gaming DK0271TX 15.6-inch 144 Hz Screen Laptop (Core i5-9300H/8GB/512GB SSD/Windows 10 Home/MS Office/4GB NVIDIA GeForce GTX 1650 Graphics), Shadow Black",64490,TRUE,https://www.amazon.in/dp/B08GD72H1H,17-01-21
"Lenovo Ideapad L340 Gaming Intel Core i5 9th Gen 15.6 inch FHD Gaming Laptop (8GB/1TB/Windows 10/NVIDIA GTX 1050 3GB Graphics/Black/2.2Kg), 81LK01L3IN",56979,FALSE,https://www.amazon.in/dp/B08BSBK57X,17-01-21
"Boult Audio AirBass PowerBuds True Wireless Earbuds with Fast Charging & 155 Hours Hotal Playtime, Touch Controls, IPX7 Waterproof, Reverse Charging for Mobile Phones and Type C Port (Black)",1999,TRUE,https://www.amazon.in/dp/B08D11DZ2W,20-01-21
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 4600H 15.6-inch Full HD IPS Gaming Laptop (8GB/512GB SSD/Windows 10/NVIDIA GTX 1650Ti 4GB GDDR6 Graphics/Onyx Black/2.2Kg), 82EY00L4IN",63490,FALSE,https://www.amazon.in/dp/B08PV3DQCW,20-01-21
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 4600H 15.6-inch Full HD IPS Gaming Laptop (8GB/512GB SSD/Windows 10/NVIDIA GTX 1650Ti 4GB GDDR6 Graphics/Onyx Black/2.2Kg), 82EY00L4IN",63990.0,True,https://www.amazon.in/dp/B08PV3DQCW,23/01/2021
Mi Power Bank 3i 20000mAh (Sandstone Black) Triple Output and Dual Input Port | 18W Fast Charging | Power Delivery,1498.0,False,https://www.amazon.in/dp/B08HV83HL3,29/01/2021
Mi Power Bank 3i 20000mAh (Sandstone Black) Triple Output and Dual Input Port | 18W Fast Charging | Power Delivery,1498.0,False,https://www.amazon.in/dp/B08HV83HL3,29/01/2021
"LG Gram 10th Gen Intel Core i5-1035G7 14-inch IPS Full HD (1920X1080) Thin and Light Laptop (8GB/256GB SSD/Windows 10 64-bit/Dark Silver/999gms), 14Z90N",67990.0,False,https://www.amazon.in/dp/B08J42VSL6,29/01/2021
"LG Gram 10th Gen Intel Core i5-1035G7 14-inch IPS Full HD (1920X1080) Thin and Light Laptop (8GB/256GB SSD/Windows 10 64-bit/Dark Silver/999gms), 14Z90N",67990.0,False,https://www.amazon.in/dp/B08J42VSL6,29/01/2021
"LG Gram 10th Gen Intel Core i5-1035G7 14-inch IPS Full HD (1920X1080) Thin and Light Laptop (8GB/256GB SSD/Windows 10 64-bit/Dark Silver/999gms), 14Z90N",67990.0,False,https://www.amazon.in/dp/B08J42VSL6,29/01/2021
Mi Power Bank 3i 20000mAh (Sandstone Black) Triple Output and Dual Input Port | 18W Fast Charging | Power Delivery,1498.0,False,https://www.amazon.in/dp/B08HV83HL3,29/01/2021
